Height: 49.8501, Sum: 1000
x	y	r
23.143	18.303	0.619
24.381	18.323	0.619
0.433	17.576	0.433
1.383	17.999	0.607
2.536	18.381	0.607
3.691	18.755	0.608
4.871	19.052	0.608
6.087	19.046	0.608
7.302	18.975	0.609
8.516	19.062	0.609
9.733	19.125	0.609
10.950	19.173	0.609
12.168	19.209	0.610
13.388	19.242	0.610
14.608	19.260	0.610
15.829	19.276	0.611
17.051	19.290	0.611
18.272	19.317	0.611
19.493	19.392	0.612
20.716	19.452	0.612
21.939	19.497	0.612
23.162	19.534	0.612
24.387	19.555	0.613
0.548	18.795	0.547
1.629	19.182	0.601
2.767	19.567	0.601
3.909	19.946	0.602
5.076	20.244	0.602
6.280	20.240	0.602
7.482	20.172	0.602
8.683	20.263	0.603
9.887	20.327	0.603
11.092	20.377	0.603
12.299	20.415	0.604
13.506	20.450	0.604
14.714	20.469	0.604
15.922	20.487	0.604
17.131	20.503	0.605
18.341	20.531	0.605
19.548	20.607	0.605
20.758	20.669	0.606
21.969	20.714	0.606
23.180	20.752	0.606
24.393	20.775	0.607
0.740	19.982	0.595
1.869	20.357	0.595
2.996	20.741	0.595
4.123	21.124	0.596
5.276	21.425	0.596
6.468	21.423	0.596
7.659	21.357	0.596
8.848	21.451	0.597
10.040	21.517	0.597
11.233	21.568	0.597
12.427	21.611	0.598
13.623	21.646	0.598
14.819	21.667	0.598
16.014	21.686	0.598
17.211	21.704	0.599
18.409	21.734	0.599
19.604	21.810	0.599
20.802	21.874	0.600
22.001	21.920	0.600
23.200	21.958	0.600
24.400	21.982	0.600
0.289	20.686	0.241
0.983	21.141	0.589
2.099	21.518	0.589
3.212	21.906	0.590
4.327	22.293	0.590
5.467	22.596	0.590
6.647	22.596	0.590
7.827	22.532	0.591
9.005	22.629	0.591
10.185	22.696	0.591
11.367	22.750	0.592
12.550	22.794	0.592
13.733	22.831	0.592
14.917	22.853	0.592
16.102	22.874	0.593
17.288	22.894	0.593
18.473	22.924	0.593
19.657	23.001	0.593
20.842	23.068	0.594
22.029	23.114	0.594
23.216	23.152	0.594
24.405	23.177	0.595
0.372	21.882	0.371
1.228	22.303	0.583
2.332	22.681	0.583
3.436	23.058	0.584
4.537	23.448	0.584
5.664	23.753	0.584
6.833	23.756	0.585
8.002	23.695	0.585
9.167	23.794	0.585
10.335	23.862	0.585
11.505	23.920	0.586
12.676	23.965	0.586
13.848	24.003	0.586
15.019	24.026	0.586
16.192	24.050	0.587
17.366	24.071	0.587
18.539	24.102	0.587
19.711	24.180	0.587
20.884	24.249	0.588
22.059	24.295	0.588
23.234	24.334	0.588
24.411	24.361	0.589
0.484	23.066	0.483
1.469	23.456	0.577
2.563	23.826	0.578
3.655	24.205	0.578
4.745	24.591	0.578
5.859	24.899	0.578
7.016	24.905	0.579
8.173	24.846	0.579
9.326	24.947	0.579
10.482	25.017	0.579
11.640	25.078	0.580
12.799	25.125	0.580
13.958	25.164	0.580
15.119	25.189	0.581
16.280	25.215	0.581
17.442	25.237	0.581
